agency_id,route_long_name,representative_route_id,route_ids,direction_count,route_desc,bidirectional_pair_flag
LTFRB,QI Kalaw,LTFRB_PUJ2399,LTFRB_PUJ2399|LTFRB_PUJ2400,2,"Taft Ave, Manila - Quezon Institute, Eulogio Rodriguez Sr Ave, Quezon City, Manila",True
LTFRB,QUIAPO - BACOOD,LTFRB_PUJ1851,LTFRB_PUJ1851|LTFRB_PUJ1852,2,"R Hidalgo, Manila - Bacood / Dalisay Intersection, Manila",True
LTFRB,QUIRINO HIGHWAY STA LUCIA,LTFRB_PUJ2263,LTFRB_PUJ2263|LTFRB_PUJ2264,2,"Jose Abad Santos, Quezon City - Susana, Quezon City",True
LTFRB,QUIRINO HIGHWAY ZABARTE PANAY AVENUE,LTFRB_PUJ2261,LTFRB_PUJ2261|LTFRB_PUJ2262,2,"Kalayaan Ave / Elliptical Rd Intersection, Quezon City, Manila - St Claire College of Caloocan, Zabarte Road, Caloocan City",True
LTFRB,Queens Row Vill. - Talon via Marcos Alvarez,LTFRB_PUJ1566,LTFRB_PUJ1566|LTFRB_PUJ1567,2,"Marcos Alvarez Ave / Alvarez Extension Intersection, Las Piñas City, Manila - Alabang-Zapote Road, Las Piñas City, Manila",True
LTFRB,Quezon Ave LRT 5th Avenue Caloocan,LTFRB_PUJ2401,LTFRB_PUJ2401,1,"Gregorio Araneta Ave, Quezon City - Circumferential Road 3 / M.H. Del Pilar St, Caloocan City, Manila",False
LTFRB,Quezon Ave. - Sta. Mesa Mkt. via Araneta Ave.,LTFRB_PUJ1568,LTFRB_PUJ1568|LTFRB_PUJ1569,2,"Kapiligan / Guirayan, Quezon City - Gregorio Araneta Ave, Quezon City, Manila",True
LTFRB,Quezon Ave./Sct. Chuatoco - Roxas Dist.,LTFRB_PUJ1570,LTFRB_PUJ1570|LTFRB_PUJ1571,2,"Quezon Avenue / Scout Chuatoco Intersection, Quezon City - Don Alejandro Roces Ave / Scout Reyes Intersection, Quezon City, Manila",True
LTFRB,Quiapo (Barbosa) - San Juan via Legarda,LTFRB_PUJ1572,LTFRB_PUJ1572|LTFRB_PUJ1573,2,"Quezon Blvd, Manila - N.Domingo, San Juan, Manila",True
LTFRB,Quiapo (Barbosa) - Santol via Sta. Mesa,LTFRB_PUJ1655,LTFRB_PUJ1655|LTFRB_PUJ1656,2,"Arlegui, Manila - Bayani, Quezon City",True
LTFRB,Quiapo (Barbosa) San Juan via Legarda,LTFRB_PUJ2403,LTFRB_PUJ2403|LTFRB_PUJ2404,2,"P. Sanchez St, Manila - Arlegui, Manila",True
LTFRB,Quiapo - San Miguel via Palanca,LTFRB_PUJ1652,LTFRB_PUJ1652,1,"Arlegui, Manila - Arlegui, Manila",False
LTFRB,Quiapo Sangandaan via Evangelista,LTFRB_PUJ2405,LTFRB_PUJ2405|LTFRB_PUJ2406,2,"Evangelista Street, Manila City - Tutuban Cluster Mall, CM Recto Avenue, Manila",True
LTFRB,"Quirino Hi-way/Zabarte - Almar Subdivision -  Panay Ave. via Regalado, Que*",LTFRB_PUJ1398,LTFRB_PUJ1398|LTFRB_PUJ1399,2,"Quezon Avenue / Epifanio de los Santos Avenue Intersection, Quezon City - St Claire College of Caloocan, Zabarte Road, Caloocan City",True
LTFRB,RECTO - GASAK,LTFRB_PUJ1849,LTFRB_PUJ1849|LTFRB_PUJ1850,2,"Oroquieta, Manila - Heath Centre, Don Bastilio Bautista Boulevard, Malabon City",True
LTFRB,"Recto - Roxas Dist. via Quezon Ave., Espana",LTFRB_PUJ1574,LTFRB_PUJ1574|LTFRB_PUJ1575,2,"España Blvd / Nicanor Reyes St Intersection, Manila - Don Alejandro Roces Ave / Scout Reyes Intersection, Quezon City, Manila",True
