route_id,route_long_name,length_km,trips_per_day_estimate,daily_vehicle_km_proxy,emissions_potential_score,emissions_source,emissions_confidence
LTFRB_PUJ2095,AURORA - LAWAN QMC,3.882,1020.0,3959.6400000000003,11.21,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ2096,AURORA - LAWAN QMC,5.354,1020.0,5461.08,15.93,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ2097,ARROCEROS - PROJ 8 via ESPANA,12.764,1020.0,13019.279999999999,39.73,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ2098,ARROCEROS - PROJ 8 via ESPANA,12.709,1020.0,12963.18,39.55,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ2099,ARROCEROS - PROJ 2&3 via ESPANA E RODRIGUEZ,10.427,1020.0,10635.539999999999,32.23,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ2100,ARROCEROS - PROJ 2&3 via ESPANA E RODRIGUEZ,11.029,1020.0,11249.58,34.16,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ2101,ARROCEROS - FAIRVIEW MARKET,23.525,1020.0,23995.5,74.29,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ2102,ARROCEROS - FAIRVIEW MARKET,23.506,1020.0,23976.12,74.23,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ2104,ARROCEROS - DAPITAN,3.594,1020.0,3665.8799999999997,10.28,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ2105,ARROCEROS - CUBAO YALE,8.712,1020.0,8886.24,26.72,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ2106,ARROCEROS - CUBAO YALE,8.712,1020.0,8886.24,26.72,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ2107,Arroceros - Blumentritt via Dimasalang,3.29,1020.0,3355.8,9.31,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ2108,Arroceros - Blumentritt via Dimasalang,3.555,1020.0,3626.1000000000004,10.16,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
