route_id,route_long_name,avg_headway_min,daily_service_window_hrs,trips_per_day_estimate,weekday_frequency_rows,frequency_source
LTFRB_PUJ1187,"Blumentritt - Vito Cruz via Quiapo, Mabini",1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1188,Boni/Pinatubo - Kalentong/JRC,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1189,Boni/Pinatubo - Kalentong/JRC,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1190,Boni - Kalentong/JRC via Boni Ave.,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1191,Boni - Kalentong/JRC via Boni Ave.,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1192,Boni (Robinson's Complex) - Kalentong/JRC,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1193,Boni (Robinson's Complex) - Kalentong/JRC,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1194,Boni/Pinatubo - Stop & Shop,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1195,Boni/Pinatubo - Stop & Shop,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1196,Buendia (Crispa) - PRC via P. Tamo,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1197,Buendia (Crispa) - PRC via P. Tamo,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1198,Cabrera - Libertad,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1199,Cabrera - Libertad,1.0,17.0,1020.0,2.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1200,Cainta Junction - Cubao via Ortigas Ave. Ext.,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1201,Cainta Junction - Cubao via Ortigas Ave. Ext.,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1202,"Calumpang - Cubao via 20th Ave., P. Tuazon",1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1203,"Calumpang - Cubao via 20th Ave., P. Tuazon",1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1204,Calumpang - Stop & Shop via Aurora Blvd.,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1205,Calumpang - Stop & Shop via Aurora Blvd.,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1206,Camarin - Novaliches (TP),1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1207,Camarin - Novaliches (TP),1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1208,Camella Homes Springville Subd.-Talon Las Pinas,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1209,Camella Homes Springville Subd.-Talon Las Pinas,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1210,Camella (Gawaran) - Lozada Market via Marcos Alvarez,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1211,Camella (Gawaran) - Lozada Market via Marcos Alvarez,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1212,Cartimar - EDSA/Buendia via Bel Air,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
